N menor maior medio
200 0.0000005 0.0002072 0.0000008
2200 0.0000045 0.0472350 0.0000157
4200 0.0000088 0.0629287 0.0000253
6200 0.0000129 0.1383474 0.0000424
8200 0.0000172 0.2439413 0.0000724
10200 0.0000210 0.3842824 0.0001038
12200 0.0000255 0.6262102 0.0001582
14200 0.0000296 0.9263811 0.0002206
16200 0.0000339 1.0532770 0.0002486
18200 0.0000379 1.4745140 0.0003447
